id,title,description,link,image_link,availability,price,sale_price,brand,condition,google_product_category,identifier_exists,shipping_country,shipping_price
rawnaq,Spray Rawnaq — Spray Intime Naturel Herbes Sahariennes 100ml,"Spray intime 100% naturel aux herbes sahariennes et huiles essentielles. Renforce la tonicité des tissus, procure une sensation de raffermissement naturel et améliore le confort intime au quotidien. 100ml. Fabriqué au Maroc par Dakhla Artisanal.",https://www.dakhlaartisanal.com/produit/rawnaq,https://www.dakhlaartisanal.com/images/rawnaq-3.jpg,in stock,229.00 MAD,,Dakhla Artisanal,new,Health & Beauty > Personal Care > Feminine Sanitary Supplies,no,MA,0.00 MAD
v-eclat,Sérum V-Eclat — Sérum Blanchissant Visage Vitamine C Acide Hyaluronique 50ml,"Sérum blanchissant du visage 100% naturel enrichi en Vitamine C (20%) et Acide Hyaluronique. Unifie le teint, réduit les taches sombres et apporte un éclat naturel. Convient aux hommes et femmes. Tous types de peau. Résultats visibles en 2-4 semaines. 50ml.",https://www.dakhlaartisanal.com/produit/v-eclat,https://www.dakhlaartisanal.com/images/v-eclat-3.jpg,in stock,229.00 MAD,,Dakhla Artisanal,new,Health & Beauty > Personal Care > Skin Care > Serums & Essences,no,MA,0.00 MAD
psoriasis,Sérum Psoriasis — Soin Naturel Apaisant Herbes Sahariennes 100ml,"Sérum réparateur 100% naturel aux herbes sahariennes et huiles essentielles. Calme les démangeaisons, réduit les rougeurs et redonne confort à la peau sensible irritée par le psoriasis. Lavande + Aloe vera + Absinthe. 100ml.",https://www.dakhlaartisanal.com/produit/psoriasis,https://www.dakhlaartisanal.com/images/psoriasis-3.jpg,in stock,229.00 MAD,,Dakhla Artisanal,new,Health & Beauty > Personal Care > Skin Care,no,MA,0.00 MAD
elixir-maca,ELIXIR MACA — Énergie et Endurance Maca Herbes Sahariennes 60 Capsules,"Complément alimentaire 100% naturel à base de Maca péruvienne et d'herbes sahariennes. Augmente l'énergie et l'endurance, favorise la santé sexuelle chez les hommes et les femmes, réduit les symptômes des fluctuations hormonales. Certifié ISO + GMP + FDA. 60 capsules.",https://www.dakhlaartisanal.com/produit/elixir-maca,https://www.dakhlaartisanal.com/images/elixir-maca-3.jpg,in stock,229.00 MAD,,Dakhla Artisanal,new,Health & Beauty > Health Care > Nutritional Supplements,no,MA,0.00 MAD
blush,Blush Laaker-El-Fassi — Blush Naturel Joues et Lèvres Alkhar Fassi 30ml,"Blush naturel 100% pour les joues et les lèvres à base d'Alkhar Fassi traditionnel marocain et d'Aloe vera. Teint rosé naturel et durable sans produits chimiques. Convient à toutes les teintes de peau. Ne dessèche pas. 30ml dure plusieurs mois.",https://www.dakhlaartisanal.com/produit/blush,https://www.dakhlaartisanal.com/images/blush-3.jpg,in stock,229.00 MAD,,Dakhla Artisanal,new,Health & Beauty > Personal Care > Cosmetics > Face Makeup > Blushes & Bronzers,no,MA,0.00 MAD
cycle-bio,Cycle Bio — Régulateur Hormonal Naturel Femme 60 Capsules,"Complément alimentaire 100% naturel pour femmes. Régule les hormones, soulage les douleurs menstruelles et améliore l'humeur. Formule unique au Qust Hindi, Sauge, Gattilier et Aubépine. Pour femmes de tous âges. 60 capsules = 1 mois.",https://www.dakhlaartisanal.com/produit/cycle-bio,https://www.dakhlaartisanal.com/images/cycle-bio-3.jpg,in stock,229.00 MAD,,Dakhla Artisanal,new,Health & Beauty > Health Care > Nutritional Supplements,no,MA,0.00 MAD
bio-eclat,Bio Eclat B8 — Éclaircissant Corps Glutathion Collagène Spiruline 60 Capsules,"Complément alimentaire 100% naturel pour l'éclaircissement du corps. Combine Glutathion (500mg), Collagène, Spiruline et Biotine. Unifie le teint, réduit les taches sombres et améliore l'élasticité de la peau. 60 capsules = 1 mois.",https://www.dakhlaartisanal.com/produit/bio-eclat,https://www.dakhlaartisanal.com/images/bio-eclat-3.jpg,in stock,229.00 MAD,,Dakhla Artisanal,new,Health & Beauty > Health Care > Nutritional Supplements,no,MA,0.00 MAD
retinol-pack,Pack Rétinol — Sérum 30ml + Crème 50ml Anti-Âge Anti-Taches,"Duo anti-âge ultime : sérum concentré au rétinol (30ml) et crème hydratante (50ml). Stimule le renouvellement cellulaire, réduit les rides et taches sombres, unifie le teint. pH 5.5. Tous types de peau. Utilisation nocturne. Économisez 109 DH.",https://www.dakhlaartisanal.com/produit/retinol-pack,https://www.dakhlaartisanal.com/images/retinol-pack-1.jpg,in stock,349.00 MAD,349.00 MAD,Dakhla Artisanal,new,Health & Beauty > Personal Care > Skin Care > Serums & Essences,no,MA,0.00 MAD
tranquilysse,Tranquilysse — Anti-Stress et Sommeil Naturel Passiflore Valeriane 60 Capsules,"Complément alimentaire 100% naturel pour réduire le stress et améliorer le sommeil. Associe Passiflore, Valériane, Mélisse et Zinc. Favorise un sommeil profond et réparateur, réveil en pleine forme. Sans accoutumance. Certifié ISO + GMP + FDA. 60 capsules.",https://www.dakhlaartisanal.com/produit/tranquilysse,https://www.dakhlaartisanal.com/images/tranquilysse-3.jpg,in stock,229.00 MAD,,Dakhla Artisanal,new,Health & Beauty > Health Care > Nutritional Supplements,no,MA,0.00 MAD
hemorcalm,Hemorcalm — Spray Naturel Hémorroïdes Menthe Ricin Girofle 50ml,"Spray naturel 100% pour le soulagement des hémorroïdes. Combine huile de menthe poivrée, huile de ricin, macéré de girofle et acide salicylique. Calme la douleur, réduit l'inflammation et soulage les démangeaisons. 100% naturel sans cortisone. 50ml.",https://www.dakhlaartisanal.com/produit/hemorcalm,https://www.dakhlaartisanal.com/images/hemorcalm-3.jpg,in stock,229.00 MAD,,Dakhla Artisanal,new,Health & Beauty > Health Care > Pain Relief,no,MA,0.00 MAD
eclat-artisan,Eclat D'artisan — Sérum Anti-Acné Charbon Actif Acide Salicylique 30ml,"Sérum anti-acné professionnel au charbon actif purifiant, acide salicylique exfoliant, tea tree antibactérien et aloe vera apaisant. Cible boutons, points noirs et excès de sébum. Texture légère non grasse. Formule 100% naturelle sans parabènes. 30ml.",https://www.dakhlaartisanal.com/produit/eclat-artisan,https://www.dakhlaartisanal.com/images/eclat-artisan-card.jpg,in stock,179.00 MAD,,Dakhla Artisanal,new,Health & Beauty > Personal Care > Skin Care > Serums & Essences,no,MA,0.00 MAD
loubane,Sérum Loubane — Repulpant Naturel Lèvres Menthe Coco Herbes Sahariennes 30ml,"Repulpant naturel pour les lèvres aux herbes sahariennes rares et huiles nourrissantes. Menthe poivrée + Huile de coco + Beurre de karité. Lèvres plus pleines, hydratées et douces dès la première application. Réduit les ridules. Sans injections. 30ml dure 2-3 mois.",https://www.dakhlaartisanal.com/produit/loubane,https://www.dakhlaartisanal.com/images/loubane-card.jpg,in stock,149.00 MAD,,Dakhla Artisanal,new,Health & Beauty > Personal Care > Cosmetics > Lip Care,no,MA,0.00 MAD
vitamined3k2,Vitamine D3+K2 — Os Solides Immunité Coeur 60 Capsules 2 Mois,"Combinaison la plus efficace pour la santé osseuse et cardiovasculaire. D3 (2000 UI) stimule l'absorption du calcium, K2 MK-7 (75 mcg) dirige le calcium vers les os. Prévient la calcification artérielle. Capsules végétales 100% halal. 60 capsules = 2 mois.",https://www.dakhlaartisanal.com/produit/vitamined3k2,https://www.dakhlaartisanal.com/images/vitamined3k2/d3k2.jpg,in stock,149.00 MAD,149.00 MAD,Dakhla Artisanal,new,Health & Beauty > Health Care > Nutritional Supplements,no,MA,0.00 MAD
